¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥001-SEM (9437)¥,¥Affordable Housing¥,¥Regular Academic Session¥,¥Mo 3:30pm - 6:10pm¥,¥09/03/2019 - 12/03/2019¥,¥Theodore Liebman¥,¥Closed¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥002-SEM (9438)¥,¥Elements of Successful Public Space¥,¥Regular Academic Session¥,¥Tu 3:30pm - 6:10pm¥,¥09/03/2019 - 12/13/2019¥,¥Lynden B Miller¥,¥Open¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥003-SEM (9439)¥,¥The 4-Dimensional Landscape¥,¥Regular Academic Session¥,¥Tu 4:55pm - 7:25pm¥,¥09/03/2019 - 12/13/2019¥,¥Jennifer Bolstad¥,¥Closed¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥004-SEM (9440)¥,¥Global Cities and History¥,¥Regular Academic Session¥,¥Th 2:00pm - 4:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Jonathan Hume Ritter¥,¥Open¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥005-SEM (10006)¥,¥Drawing for Architects &¥,¥Regular Academic Session¥,¥Tu 9:30am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Maria Ibanez, Todd Rouhe¥,¥Open¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥006-SEM (10520)¥,¥URDS and Health¥,¥Regular Academic Session¥,¥Mo 4:55pm - 7:25pm¥,¥09/03/2019 - 12/13/2019¥,¥Yetsuh Frank¥,¥Open¥
¥ARTHUA661128033¥,¥ARTH-UA 661 - Shaping The Urban Environment¥,¥001-LEC (9434)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Desiree S Mitton, Mosette Broderick¥,¥Closed¥
¥ARTHUA661128033¥,¥ARTH-UA 661 - Shaping The Urban Environment¥,¥002-LEC (9436)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Desiree S Mitton, Mosette Broderick¥,¥Closed¥
¥ARTHUA661128033¥,¥ARTH-UA 661 - Shaping The Urban Environment¥,¥003-LEC (9435)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Desiree S Mitton, Mosette Broderick¥,¥Closed¥
¥ARTHUA670128036¥,¥ARTH-UA 670 - Decision-Making & Urban Design¥,¥001-SEM (9441)¥,¥¥,¥Regular Academic Session¥,¥We 11:00am - 1:45pm¥,¥09/03/2019 - 12/13/2019¥,¥James D Morgan¥,¥Open¥
